a,theta,alpha_obs,alpha_pred,alpha_abs_error,q_eff_obs,q_eff_pred,q_eff_abs_error,count_slope_obs,count_slope_pred,count_slope_abs_error
1.25,0,1.2500000000000002,1.25,2.220446049250313e-16,-2.220446049250313e-16,0.0,2.220446049250313e-16,0.8129205200366144,0.8,0.012920520036614369
1.25,0.25,1.09375,1.09375,0.0,0.125,0.125,0.0,0.927349918976802,0.9142857142857143,0.01306420469108771
1.25,0.5,0.9375000000000103,0.9375,1.0325074129013956e-14,0.24999999999999178,0.25,8.215650382226158e-15,1.0745087328438936,1.0666666666666667,0.007842066177226936
1.25,0.75,0.7812500000003361,0.78125,3.360645095540349e-13,0.3749999999997311,0.375,2.688960165642129e-13,1.2829613403509244,1.28,0.002961340350924324
1.25,1,0.625000000009804,0.625,9.80404646355737e-12,0.4999999999921567,0.5,7.843281579766881e-12,1.6019808432199767,1.6,0.0019808432199766024
1.5,0,1.5000000000000007,1.5,6.661338147750939e-16,-4.440892098500626e-16,0.0,4.440892098500626e-16,0.6773373053373019,0.6666666666666666,0.010670638670635224
1.5,0.25,1.3125000000000007,1.3125,6.661338147750939e-16,0.12499999999999956,0.125,4.440892098500626e-16,0.7742922789903022,0.7619047619047619,0.012387517085540312
1.5,0.5,1.1250000000000433,1.125,4.3298697960381105e-14,0.24999999999997113,0.25,2.886579864025407e-14,0.8996709470676277,0.8888888888888888,0.010782058178738896
1.5,0.75,0.9375000000025554,0.9375,2.555400335779723e-12,0.37499999999829636,0.375,1.7036372312873027e-12,1.0745087328438936,1.0666666666666667,0.007842066177226936
1.5,1,0.7500000001427419,0.75,1.427419293875687e-10,0.4999999999048387,0.5,9.516132326581328e-11,1.3374931276644768,1.3333333333333333,0.0041597943311435515
2.0,0,1.9999999999999996,2.0,4.440892098500626e-16,2.220446049250313e-16,0.0,2.220446049250313e-16,0.5035272532938081,0.5,0.003527253293808097
2.0,0.25,1.7500000000000024,1.75,2.4424906541753444e-15,0.12499999999999878,0.125,1.2212453270876722e-15,0.5765852628233362,0.5714285714285714,0.005156691394764823
2.0,0.5,1.5000000000006617,1.5,6.616929226765933e-13,0.24999999999966915,0.25,3.3084646133829665e-13,0.6765868348432047,0.6666666666666666,0.009920168176538069
2.0,0.75,1.2500000001427425,1.25,1.42742484499081e-10,0.37499999992862876,0.375,7.13712422495405e-11,0.8129205200366144,0.8,0.012920520036614369
2.0,1,1.0000000296167935,1.0,2.9616793462139412e-08,0.49999998519160327,0.5,1.4808396731069706e-08,1.0091970904700784,1.0,0.00919709047007844
3.0,0,3.0,3.0,0.0,0.0,0.0,0.0,0.32649110648300456,0.3333333333333333,0.006842226850328759
3.0,0.25,2.6250000000000426,2.625,4.263256414560601e-14,0.12499999999998579,0.125,1.4210854715202004e-14,0.39329608572826724,0.38095238095238093,0.01234370477588631
3.0,0.5,2.2500000001427423,2.25,1.4274226245447608e-10,0.24999999995241928,0.25,4.758071714405787e-11,0.45726706709739323,0.4444444444444444,0.012822622652948812
3.0,0.75,1.8750004248315728,1.875,4.248315728094809e-07,0.3749998583894757,0.375,1.416105243068344e-07,0.5350516168537749,0.5333333333333333,0.0017182835204415658
3.0,1,1.5012470346333417,1.5,0.0012470346333417481,0.4995843217888861,0.5,0.00041567821111387904,0.6765868348432047,0.6666666666666666,0.009920168176538069
